NAME,Predicted Rank
Giannis Antetokounmpo,13.2
Shai Gilgeous-Alexander,19.0
Paolo Banchero,27.4
Anthony Edwards,27.8
Luka Doncic,29.4
DeMar DeRozan,31.8
Damian Lillard,34.6
Tyrese Maxey,34.8
Kevin Durant,36.0
Jalen Brunson,36.0
Jayson Tatum,38.2
Anthony Davis,40.4
Mikal Bridges,42.4
De'Aaron Fox,43.6
Devin Booker,48.2
Dejounte Murray,48.8
Trae Young,49.0
Jaylen Brown,49.4
LeBron James,49.4
Nikola Jokic,50.4
Cade Cunningham,51.0
Jaren Jackson Jr.,51.2
Donovan Mitchell,53.6
Kyle Kuzma,54.6
Karl-Anthony Towns,55.6
Stephen Curry,56.8
Jalen Green,58.2
Kawhi Leonard,60.6
Collin Sexton,66.4
Jerami Grant,66.4
Jordan Clarkson,66.8
Victor Wembanyama,68.6
Miles Bridges,70.0
Alperen Sengun,70.4
Zion Williamson,71.6
Bam Adebayo,71.6
Franz Wagner,74.8
Brandon Ingram,75.8
Tyrese Haliburton,80.4
D'Angelo Russell,80.8
Devin Vassell,81.6
Domantas Sabonis,82.0
Cam Thomas,82.4
Austin Reaves,83.8
Scottie Barnes,84.6
Michael Porter Jr.,85.0
Jordan Poole,85.8
Brandon Miller,86.0
Joel Embiid,89.4
Keldon Johnson,90.0
Julius Randle,90.6
Bogdan Bogdanovic,92.6
Saddiq Bey,95.6
Nikola Vucevic,97.0
Coby White,98.2
Paul George,98.2
Jaden Ivey,98.4
Chet Holmgren,99.4
Fred VanVleet,100.2
Klay Thompson,102.4
Myles Turner,102.8
Anfernee Simons,104.6
Malik Monk,108.0
CJ McCollum,108.0
Derrick White,108.0
Jimmy Butler,110.2
James Harden,110.8
Lauri Markkanen,112.0
Tim Hardaway Jr.,115.0
Kyrie Irving,117.0
Jamal Murray,117.0
Jonathan Kuminga,119.6
Jalen Williams,120.2
Tobias Harris,120.2
Jeremy Sochan,120.4
John Collins,121.8
De'Andre Hunter,123.8
Bennedict Mathurin,127.8
Deni Avdija,127.8
Kristaps Porzingis,130.2
Bobby Portis,132.2
Keegan Murray,133.2
Pascal Siakam,133.2
Norman Powell,133.6
Rudy Gobert,134.6
Jusuf Nurkic,135.4
Cole Anthony,143.6
Aaron Gordon,144.2
Shaedon Sharpe,145.2
Kelly Oubre Jr.,147.0
Herbert Jones,147.0
Jarrett Allen,148.2
Desmond Bane,148.6
Josh Giddey,149.2
Brandin Podziemski,152.8
Malcolm Brogdon,158.2
Donte DiVincenzo,158.4
Darius Garland,161.4
Naz Reid,165.2
Andrew Wiggins,165.4
Jonas Valanciunas,166.2
Jaime Jaquez Jr.,166.4
Nic Claxton,167.8
Moritz Wagner,170.0
Bilal Coulibaly,174.6
Isaac Okoro,174.6
Gary Trent Jr.,177.6
Jabari Smith Jr.,181.0
Caris LeVert,181.0
Dennis Schroder,182.0
Spencer Dinwiddie,183.0
Russell Westbrook,185.8
Jalen Johnson,186.8
Josh Hart,187.0
Khris Middleton,187.0
Reggie Jackson,187.8
Deandre Ayton,187.8
Duncan Robinson,189.4
Max Strus,189.4
Keyonte George,189.4
Obi Toppin,190.2
Terry Rozier,190.2
Ayo Dosunmu,191.2
Wendell Carter Jr.,193.4
Harrison Barnes,194.2
Brook Lopez,194.4
RJ Barrett,195.6
Luguentz Dort,197.0
Dillon Brooks,197.2
Corey Kispert,197.6
Tyus Jones,197.6
Tyler Herro,197.6
Grayson Allen,198.8
Scoot Henderson,199.0
Clint Capela,200.0
Aaron Nesmith,200.4
Jrue Holiday,205.4
Jalen Duren,208.4
Alec Burks,209.2
Isaiah Hartenstein,210.2
Jalen Suggs,210.4
Kentavious Caldwell-Pope,213.2
Rui Hachimura,214.4
Cameron Johnson,215.0
Bradley Beal,216.2
P.J. Washington,216.6
Malaki Branham,216.8
Jaden McDaniels,216.8
Evan Mobley,220.6
Kevin Huerter,222.2
Zach Collins,222.2
Caleb Martin,223.6
Talen Horton-Tucker,225.2
Peyton Watson,225.2
Toumani Camara,225.2
Tre Jones,225.6
Zach LaVine,226.4
Immanuel Quickley,226.6
Bojan Bogdanovic,226.6
Malik Beasley,227.0
Dereck Lively II,227.4
LaMelo Ball,227.8
Ausar Thompson,228.2
Daniel Theis,228.4
Andre Drummond,229.2
Killian Hayes,232.4
Alex Caruso,233.4
Derrick Jones Jr.,233.6
Terance Mann,235.2
Mike Conley,239.4
Jaden Hardy,242.6
Jakob Poeltl,242.6
Ivica Zubac,242.6
Ziaire Williams,242.6
Vince Williams Jr.,243.4
RJ Barrett,243.6
Jabari Walker,243.6
Matisse Thybulle,244.8
Quentin Grimes,244.8
Lonnie Walker IV,245.2
Eric Gordon,247.2
Duop Reath,247.6
Onyeka Okongwu,249.4
Dario Saric,249.6
Trey Murphy III,249.8
Santi Aldama,252.6
Trayce Jackson-Davis,252.8
Georges Niang,255.4
Taurean Prince,255.4
Buddy Hield,257.0
Markelle Fultz,257.4
Nick Richards,258.8
Andrew Nembhard,260.0
Daniel Gafford,260.0
David Roddy,262.0
Torrey Craig,262.2
Jae Crowder,263.4
Luke Kennard,263.4
DeJon Jarreau,264.2
Chris Duarte,264.2
Nickeil Alexander-Walker,264.8
Jordan Hawkins,264.8
Bruce Brown,266.0
Kevon Looney,266.4
Christian Braun,270.0
De'Anthony Melton,270.2
Cam Whitmore,271.2
Isaiah Stewart,271.2
Isaiah Joe,272.4
Ja Morant,273.8
Day'Ron Sharpe,274.6
Simone Fontecchio,274.6
Julian Champagnie,275.0
T.J. McConnell,275.4
Dorian Finney-Smith,276.2
Josh Green,277.0
Gordon Hayward,278.0
Payton Pritchard,278.0
Amen Thompson,278.0
Immanuel Quickley,279.0
Patrick Williams,285.6
Jalen Smith,286.8
Drew Eubanks,287.0
John Konchar,287.0
Terry Rozier,289.8
Draymond Green,289.8
Sam Hauser,290.0
Marcus Smart,290.2
Marvin Bagley III,291.8
James Wiseman,291.8
Marvin Bagley III,291.8
Kevin Love,292.4
Grant Williams,292.4
Dalano Banton,293.0
Royce O'Neale,293.0
Xavier Tillman,294.4
Pascal Siakam,294.4
Al Horford,295.0
Dennis Smith Jr.,295.8
Jaylin Williams,297.4
Jevon Carter,297.4
Sam Merrill,297.4
Precious Achiuwa,298.2
Aaron Wiggins,298.6
Walker Kessler,299.2
Trey Lyles,301.6
Jeff Green,301.8
Kelly Olynyk,302.0
Ben Sheppard,304.8
Grant Williams,305.0
Pat Connaughton,305.8
GG Jackson,307.0
Keita Bates-Diop,307.2
Dyson Daniels,307.4
Josh Richardson,308.4
Patrick Beverley,309.2
OG Anunoby,310.2
Moses Moody,310.4
Amir Coffey,312.4
Dennis Schroder,313.0
Aaron Holiday,314.6
OG Anunoby,314.6
Paul Reed,315.0
Buddy Hield,316.4
Haywood Highsmith,317.0
Isaiah Jackson,319.0
Cam Reddish,319.2
P.J. Washington,320.4
Marcus Sasser,320.8
Cason Wallace,321.0
Vasilije Micic,322.2
Simone Fontecchio,322.6
Kyle Anderson,323.2
Chimezie Metu,325.4
Skylar Mays,326.6
Craig Porter,326.8
Kris Dunn,327.6
Sasha Vezenkov,330.8
Cedi Osman,332.2
Ochai Agbaji,332.6
Dante Exum,332.8
Naji Marshall,336.0
MarJon Beauchamp,337.6
Julian Strawther,340.2
Chris Paul,344.0
Malachi Flynn,345.4
Miles McBride,346.2
Nick Smith Jr.,346.8
Christian Wood,347.6
Goga Bitadze,348.0
Cody Martin,350.4
Mark Williams,350.8
Gradey Dick,353.6
Dean Wade,354.2
Cameron Payne,355.8
Eugene Omoruyi,356.2
Jake LaRavia,358.0
Danilo Gallinari,358.0
Bruce Brown,359.2
Gary Harris,359.2
Delon Wright,360.2
Bones Hyland,360.8
Mo Bamba,360.8
Jose Alvarado,361.8
Anthony Black,362.2
Chris Boucher,362.2
Derrick Rose,362.4
Kenrich Williams,362.6
Precious Achiuwa,364.0
Larry Nance Jr.,364.0
Gary Payton II,364.2
Doug McDermott,364.8
Josh Okogie,366.8
Nikola Jovic,368.0
JT Thor,368.4
Monte Morris,369.0
Jaylen Nowell,369.8
Bismack Biyombo,370.4
Trendon Watford,370.4
Kyle Lowry,371.8
Spencer Dinwiddie,371.8
Oshae Brissett,372.2
Jarred Vanderbilt,372.4
Seth Curry,374.6
Bryce McGowens,375.2
Shake Milton,375.2
DeAndre Jordan,376.6
Bojan Bogdanovic,377.0
Joe Ingles,378.0
Max Christie,378.2
Mason Plumlee,378.2
Caleb Houstan,379.8
Dominick Barlow,381.2
Gabe Vincent,381.4
Landry Shamet,381.6
Jacob Gilyard,383.6
Tari Eason,384.4
Ish Smith,384.6
Scotty Pippen Jr.,385.0
Royce O'Neale,385.2
Kyle Lowry,385.6
Luke Kornet,386.6
Ricky Council IV,386.6
Jaden Springer,387.4
Bruno Fernando,387.8
Lamar Stevens,391.2
Theo Maledon,393.0
Troy Brown Jr.,393.8
Kevin Knox II,393.8
Dwight Powell,395.6
Seth Curry,396.0
Davion Mitchell,397.4
AJ Green,398.0
Blake Wesley,398.6
Danilo Gallinari,403.4
Isaiah Livers,404.8
Tristan Thompson,405.2
Kris Murray,406.0
Justin Holiday,406.6
Nicolas Batum,407.2
Mitchell Robinson,407.2
Tre Mann,407.6
Jordan Goodwin,409.0
Quentin Grimes,410.4
JaVale McGee,411.2
Jordan Goodwin,411.8
Cameron Payne,413.0
Neemias Queta,414.4
Danuel House Jr.,417.6
Garrison Mathews,417.8
Jonathan Isaac,418.8
Richaun Holmes,421.8
Alex Len,421.8
Cody Zeller,421.8
Jamal Cain,422.4
Shake Milton,422.6
Robert Covington,422.8
Maxi Kleber,423.8
Jock Landale,424.8
KJ Martin,425.6
Zeke Nnaji,426.8
Trevelin Queen,427.8
Marcus Morris Sr.,427.8
Johnny Davis,428.2
Patty Mills,429.2
Daniel Gafford,432.6
Dru Smith,432.8
Olivier-Maxence Prosper,433.0
Patrick Beverley,433.8
Evan Fournier,434.4
Taylor Hendricks,435.0
Kelly Olynyk,435.2
Jordan Nwora,435.6
Evan Fournier,436.6
Jalen Wilson,436.8
Bol Bol,436.8
Gui Santos,437.0
Monte Morris,437.0
Thomas Bryant,437.2
Thaddeus Young,437.2
Matt Ryan,438.2
Keon Johnson,438.4
Jordan McLaughlin,438.8
Omer Yurtseven,439.6
Jericho Sims,440.0
Joe Harris,441.8
Terquavion Smith,441.8
Alec Burks,442.4
Keon Ellis,444.0
Saben Lee,445.6
Ochai Agbaji,445.8
Jaxson Hayes,448.2
Gordon Hayward,449.8
Doug McDermott,450.6
Tosan Evbuomwan,452.2
Luka Samanic,454.2
Delon Wright,454.8
Jontay Porter,455.8
Jae'Sean Tate,456.4
Lester Quinones,458.4
Yuta Watanabe,458.8
Ashton Hagans,459.6
Robert Williams III,460.0
Wenyen Gabriel,460.4
Davis Bertans,461.8
Mike Muscala,462.2
Jalen McDaniels,462.4
Trey Jemison,463.2
Orlando Robinson,463.4
Ben Simmons,464.6
Robert Covington,465.0
Mike Muscala,465.0
Stanley Umude,466.2
AJ Griffin,466.6
P.J. Tucker,467.0
Chuma Okeke,467.6
Brandon Boston Jr.,468.4
Svi Mykhailiuk,468.6
Malachi Flynn,468.6
Luka Garza,468.8
Jalen Pickett,469.8
Nassir Little,470.6
Brice Sensabaugh,473.4
Olivier Sarr,474.8
A.J. Lawson,475.0
Ousmane Dieng,477.0
Cory Joseph,477.4
Jordan Nwora,477.6
Matt Hurt,477.8
Reggie Bullock Jr.,477.8
Devonte' Graham,479.0
Jarace Walker,480.6
Wesley Matthews,481.4
Jeremiah Robinson-Earl,481.4
T.J. Warren,481.8
Jeff Dowtin Jr.,482.0
James Bouknight,483.2
Terry Taylor,485.8
Andre Jackson Jr.,488.0
Collin Gillespie,489.4
Vasilije Micic,489.6
Taj Gibson,489.6
Yuta Watanabe,489.6
Jared Butler,490.4
Sandro Mamukelashvili,491.2
Patty Mills,493.0
Kobe Brown,493.2
Boban Marjanovic,494.6
Nate Williams,494.8
Lindy Waters III,495.2
Dalen Terry,495.2
Javon Freeman-Liberty,496.0
Tre Mann,497.6
Troy Brown Jr.,501.4
Xavier Tillman,501.8
Julian Phillips,501.8
Leaky Black,501.8
Furkan Korkmaz,501.8
Udoka Azubuike,502.0
Brandon Williams,504.4
Trent Forrest,505.0
Moussa Diabate,505.2
Damian Jones,505.8
Noah Clowney,506.2
R.J. Hampton,507.4
Kenyon Martin Jr.,507.6
Thaddeus Young,508.0
Otto Porter Jr.,508.6
Armoni Brooks,509.6
Kessler Edwards,509.6
Dexter Dennis,510.2
Davis Bertans,511.4
Ryan Rollins,511.8
Onuralp Bitim,512.4
Emoni Bates,513.6
P.J. Tucker,513.6
Kobe Bufkin,513.6
Charles Bassey,514.4
Kira Lewis Jr.,515.2
Jordan Walsh,515.6
Hamidou Diallo,516.0
Bismack Biyombo,516.0
Kenneth Lofton Jr.,516.6
Danilo Gallinari,517.0
Oscar Tshiebwe,518.6
Nicolas Batum,518.6
Moses Brown,521.2
Justin Minaya,521.4
Garrett Temple,521.8
Colby Jones,523.2
Patrick Baldwin,524.2
Cole Swider,524.2
Dalano Banton,525.2
Anthony Gill,525.2
D.J. Carton,526.0
Josh Minott,526.2
Nathan Mensah,528.4
Richaun Holmes,530.2
Markieff Morris,532.0
Vit Krejci,532.0
Jalen Hood-Schifino,535.8
Lamar Stevens,536.8
Rayan Rupert,536.8
Frank Ntilikina,537.2
Johnny Juzang,539.4
Harry Giles III,539.4
Keita Bates-Diop,541.0
Aleksej Pokusevski,542.4
Ish Wainright,543.4
Colin Castleton,546.6
Jordan Miller,547.4
Juan Toscano-Anderson,547.6
Leonard Miller,549.8
Darius Bazley,550.6
Jalen Slawson,550.6
Theo Maledon,550.6
Xavier Moon,550.6
Isaiah Mobley,550.8
Justin Champagnie,551.4
Aleksej Pokusevski,552.8
Thanasis Antetokounmpo,553.0
Joshua Primo,557.0
Marques Bolden,557.0
Braxton Key,558.4
Jules Bernard,559.2
Izaiah Brockington,560.0
Trey Jemison,560.2
Jermaine Samuels Jr.,560.6
Malachi Flynn,561.2
Drew Peterson,561.8
Robin Lopez,562.6
Maxwell Lewis,564.0
David Roddy,564.2
DaQuan Jeffries,564.6
Chris Livingston,565.4
Keyontae Johnson,565.4
Skylar Mays,567.2
Nate Hinton,567.4
D'Moi Hodge,567.6
Jamaree Bouyea,569.0
Mamadi Diakite,569.2
Kendall Brown,569.2
Jay Huff,569.4
Seth Lundy,570.0
Ibou Badji,570.0
Dereon Seabron,570.4
Markquis Nowell,571.0
Micah Potter,571.4
Jacob Toppin,571.4
Greg Brown III,571.6
Jaden Springer,573.0
Mouhamadou Gueye,573.0
Jerome Robinson,573.4
Ron Harper Jr.,573.4
Filip Petrusev,573.4
Alex Fudge,574.2
Daniel Theis,574.2
Jahmi'us Ramsey,574.2
Tosan Evbuomwan,574.2
Amari Bailey,574.2
Jason Preston,576.0
Daishen Nix,576.2
Jett Howard,576.2
Sidy Cissoko,579.4
Jordan Ford,579.6
Jalen Crutcher,580.0
Usman Garuba,580.0
Kira Lewis Jr.,580.0
Hunter Tyson,580.6
Malcolm Cazalon,580.6
Filip Petrusev,580.6
Justin Jackson,580.6
Pat Spencer,580.6
Javonte Smart,580.6
Dmytro Skapintsev,580.6
Charlie Brown Jr.,580.6
Admiral Schofield,580.6
Isaiah Wong,580.6
Mouhamed Gueye,580.6
Kira Lewis Jr.,580.6
Marques Bolden,580.6
Dylan Windler,580.8
Shake Milton,581.2
Pete Nance,581.8
Shaquille Harrison,581.8
Mike Muscala,583.6
Taze Moore,585.2
Lindell Wigginton,585.8
Mason Jones,586.4
Dariq Whitehead,586.4
Jared Rhoden,587.2
Wendell Moore Jr.,587.2
Harry Giles III,587.4
Dylan Windler,587.4
JD Davison,587.8
Alondes Williams,589.4
Ryan Arcidiacono,589.4
TyTy Washington Jr.,589.4
E.J. Liddell,589.4
Danny Green,590.0
Kaiser Gates,590.0
Ty Jerome,592.4
Adama Sanogo,592.4
Kenneth Lofton Jr.,593.6
Kevon Harris,593.6
James Johnson,593.6
Adam Flagler,597.2
